Puzzle,Category,Date
PIPING HOT BROTH,Food &amp; Drink,5/23/18
QUACKING DUCKS,Living Things,5/24/18
MY FAVORITE CARDIGAN,What Are You Wearing?,5/25/18
MAKING QUICK WORK OF IT,What Are You Doing?,5/28/18
A GROUP OF HEDGEHOGS,Living Things,5/29/18
WOKS AND PANS,In the Kitchen,5/30/18
MOVING BOXES,Around the House,5/31/18
ANTIQUE HUTCH,Around the House,6/1/18
YOUNG JACKRABBIT,Living Thing,6/4/18
HIGHLY GIFTED CHILD,Person,6/5/18
I GOOFED UP,Phrase,6/6/18
WACKY NEIGHBORS,People,6/7/18
BAGGAGE HANDLER,Occupation,6/8/18
BAKING DISHES,In the Kitchen,9/10/18
QUITE A FEW,Phrase,9/11/18
BULKY PACKAGE,Thing,9/12/18
LIGHTWEIGHT BLAZER,What Are You Wearing?,9/13/18
BLOWING A HUGE BUBBLE,Fun &amp; Games,9/14/18
YOU HAVE TO HURRY,Phrase,9/17/18
JAZZ CLUBS,Places,9/18/18
WINDOW BOXES,Around the House,9/19/18
CHOPPING BLOCK,In the Kitchen,9/20/18
QUART OF ALMOND MILK,Food &amp; Drink,9/21/18
WHITE ORCHIDS,Living Things,9/24/18
OUT OF WHACK,Phrase,9/25/18
SPICY GOULASH,Food &amp; Drink,9/26/18
ORGANIC KALE AND SPINACH,Food &amp; Drink,9/27/18
HIGH BIDDERS,People,9/28/18
BOLIVIA AND PERU,On the Map,10/1/18
PLAYING HOPSCOTCH,Fun &amp; Games,10/2/18
MAPLE TAFFY,Food &amp; Drink,10/3/18
BIKING TO WORK,What Are You Doing?,10/4/18
VICTORY PARADE,Event,10/5/18
PORCELAIN GRAVY BOAT,Around the House,10/8/18
GREYHOUND PUPPY,Living Thing,10/9/18
CAUSING AN UPROAR,What Are You Doing?,10/10/18
PHOENIX AND FLAGSTAFF,On the Map,10/11/18
MIGHTY FINE,Phrase,10/12/18
APRICOT JAM,Food &amp; Drink,10/15/18
PAVILION IN THE PARK,Place,10/16/18
BUYING A VEHICLE,Event,10/17/18
OLIVE KHAKIS,What Are You Wearing?,10/18/18
COMBING MY HAIR,What Are You Doing?,10/19/18
BATH PRODUCTS,Around the House,10/22/18
COUGARS IN THE WILD,Living Things,10/23/18
FUN TO WATCH,Phrase,10/24/18
A YOUTHFUL GUY,Person,10/25/18
IN A FEW HOURS,Phrase,10/26/18
BEYOND DESCRIPTION,Phrase,10/29/18
FOLDING WORKBENCH,Around the House,10/30/18
MIXING PAINT,What Are You Doing?,10/31/18
POISED FOR VICTORY,Phrase,11/1/18
PAIR OF COWBOY BOOTS,What Are You Wearing?,11/2/18
MICROWAVE EGG POACHER,In the Kitchen,11/5/18
POSITIVE OUTCOME,Thing,11/6/18
VIDEO ARCADE,Place,11/7/18
NEW GOLF BAG,Fun &amp; Games,11/8/18
HEAVYWEIGHT BOXER,Person,11/9/18
JOYFUL PARTYGOERS,People,11/12/18
A JOURNEY BY FOOT,Event,11/13/18
ICY BLIZZARD,Event,11/14/18
JUST A GLIMPSE,Phrase,11/15/18
I FOUND OUT,Phrase,11/16/18
BUBBLING OVER WITH JOY,What Are You Doing?,11/19/18
QUOTE OF THE DAY,Thing,11/20/18
MADAGASCAR,On the Map,11/21/18
WOMBATS AND KOALAS,Living Things,11/22/18
FIXING A GLITCH,What Are You Doing?,11/23/18
A BOWL OF YOGURT,Food &amp; Drink,11/26/18
POWER OUTAGES,Events,11/27/18
JUICY AND DELICIOUS,Phrase,11/28/18
FLEXING MY BICEPS,What Are You Doing?,11/29/18
HIGHLY QUESTIONABLE,Phrase,11/30/18
PROMS AND GALAS,Events,12/3/18
WAY ABOVE AVERAGE,Phrase,12/4/18
OVERCOMING HURDLES,What Are You Doing?,12/5/18
HAWKS IN FLIGHT,Living Things,12/6/18
FUZZY PAJAMAS,What Are You Wearing?,12/7/18
YOU HAVE A CHOICE,Phrase,12/10/18
PUSHING FORWARD,What Are You Doing?,12/11/18
OUT OF PRACTICE,Phrase,12/12/18
BOILED CABBAGE,Food &amp; Drink,12/13/18
WORLDS APART,Phrase,12/14/18
HUGE WAVE,Thing,12/17/18
NEWBORN FAWN,Living Thing,12/18/18
DOCKING A BOAT,What Are You Doing?,12/19/18
APPLYING FOR A JOB,What Are You Doing?,12/20/18
PROSPECTIVE BUYER,Person,12/21/18
BUMPY FLIGHT,Event,12/24/18
BAGGY JEANS,What Are You Wearing?,12/25/18
DUMB JOKES,Fun &amp; Games,12/26/18
HAVING A LAUGH,What Are You Doing?,12/27/18
ZUCCHINI MUFFIN,Food &amp; Drink,12/28/18
DRIED MANGO,Food &amp; Drink,12/31/18
AMAZING DISCOVERY,Event,1/1/19
BAG OF YUMMY CANDY,Food &amp; Drink,1/2/19
DOUBLE-PARKING,What Are You Doing?,1/3/19
MATH PRODIGY,Person,1/4/19
FAMILY PICNIC,Event,1/7/19
FOXES AND HOUNDS,Living Things,1/8/19
FINANCIAL BACKER,Person,1/9/19
BOBBING FOR APPLES,Fun &amp; Games,1/10/19
FLIPPING THROUGH PAGES,What Are You Doing?,1/11/19
YOUR OWN BACKYARD,Place,1/14/19
FLOPPY BEACH HAT,What Are You Wearing?,1/15/19
ANNOYING BUZZER,Thing,1/16/19
FANCY CUPCAKES,Food &amp; Drink,1/17/19
BUYING VOWELS,Fun &amp; Games,1/18/19
MUTUAL ACQUAINTANCE,Person,1/21/19
BAFFLING DECISION,Thing,1/22/19
RAW VEGGIES,Food &amp; Drink,1/23/19
PUBLIC FIGURE,Person,1/24/19
WATCHING A WORKOUT VIDEO,Fun &amp; Games,1/25/19
APPETIZING MEAL,Food &amp; Drink,1/28/19
WRITING A DAILY JOURNAL,What Are You Doing?,1/29/19
GATHER YOUR WITS,Phrase,1/30/19
HIPPOS AND GIRAFFES,Living Things,1/31/19
DOUBLE THE AMOUNT,Phrase,2/1/19
VERY HEAVY DOWNPOUR,Event,2/4/19
DRAWING A BLANK,What Are You Doing?,2/5/19
QUIT GOOFING AROUND,Phrase,2/6/19
DOVES AND OWLS,Living Things,2/7/19
A PROVEN FACT,Thing,2/8/19
ADVENTUROUS JOURNEY,Event,2/11/19
HOODED CARDIGAN,What Are You Wearing?,2/12/19
PAVED DRIVEWAY,Place,2/13/19
COZY NOOK,Place,2/14/19
GOOEY TOPPING,Food &amp; Drink,2/15/19
MAJOR BOULEVARD,Place,2/18/19
OBVIOUS QUESTION,Thing,2/19/19
FROZEN BAGELS,Food &amp; Drink,2/20/19
BASE OF OPERATIONS,Place,2/21/19
PUMPKIN RAVIOLI,Food &amp; Drink,2/22/19
WILD DAFFODILS,Living Things,2/25/19
JOT DOWN YOUR IDEAS,Phrase,2/26/19
BINGO PLAYER,Person,2/27/19
BIKE PATHS,Places,2/28/19
A VERY BIG HOUSE,Place,3/1/19
JACK OF DIAMONDS,Fun &amp; Games,3/4/19
AVID GOLF FAN,Person,3/5/19
FRAGRANT BOUQUET,Thing,3/6/19
CHECK BACK WITH US,Phrase,3/7/19
A COOL HOBBY SHOP,Place,3/8/19
JOKE OF THE DAY,Fun &amp; Games,3/11/19
THICK GUMBO,Food &amp; Drink,3/12/19
COMPANY FOUNDER,Person,3/13/19
DELIGHTFUL BANQUET,Event,3/14/19
POD OF WHALES,Living Things,3/15/19
IT MIGHT BE HELPFUL,Phrase,3/18/19
CROWDED WHARF,Place,3/19/19
FIXING MY HAIR,What Are You Doing?,3/20/19
BOUNCE AROUND,Phrase,3/21/19
ACTING GOOFY,What Are You Doing?,3/22/19
PACIFIC HALIBUT,Living Thing,3/25/19
PHILANTHROPIC ORGANIZATION,Thing,3/26/19
A BOX OF GOODIES,Thing,3/27/19
I WAS KIDDING,Phrase,3/28/19
YOU MAY HAVE A POINT,Phrase,3/29/19
I HOPE YOU JOIN,Phrase,4/1/19
PUFFY QUILT,Around the House,4/2/19
YUMMY FIGS AND OLIVES,Food &amp; Drink,4/3/19
OUR FAVORITE HANGOUT,Place,4/4/19
GLITZY AFFAIR,Event,4/5/19
AUTHORS AND BLOGGERS,People,4/8/19
JOB APPLICANTS,People,4/9/19
HIGH ACHIEVER,Person,4/10/19
CUBED HAM,Food &amp; Drink,4/11/19
AVOCADO APPETIZER,Food &amp; Drink,4/12/19
HAPPY AND JOYFUL,Phrase,4/15/19
WALKING MY DOG,What Are You Doing?,4/16/19
QUAINT CABIN,Place,4/17/19
FABULOUS WEDDING CAKE,Food &amp; Drink,4/18/19
HOLIDAY BASHES,Events,4/19/19
BOUND FOR HOME,Phrase,4/22/19
A QUICK OVERVIEW,Thing,4/23/19
AWKWARD PAUSE,Thing,4/24/19
HIDDEN CAVE,Place,4/25/19
A BUNCH OF GOOD KIDS,People,4/26/19
ZOMBIE MOVIE,Show Biz,4/29/19
PAYING WITH CASH,What Are You Doing?,4/30/19
FASHIONABLE BOUTIQUE,Place,5/1/19
JUDGE AND BAILIFF,Occupations,5/2/19
KEEP FORGING AHEAD,Phrase,5/3/19
MAJOR VOYAGE,Event,5/6/19
BLUFFING,What Are You Doing?,5/7/19
QUICK TO JUDGE,Phrase,5/8/19
WAKING UP AT DAWN,What Are You Doing?,5/9/19
SO MUCH HYPE,Phrase,5/10/19
FOAMY BEVERAGE,Food &amp; Drink,5/13/19
HAPPY BABIES,People,5/14/19
WORKING IT OFF,What Are You Doing?,5/15/19
QUIRKY AUTHOR,Person,5/16/19
I OWE YOU A FAVOR,Phrase,5/17/19
BUZZING AROUND TOWN,What Are You Doing?,5/20/19
QUITE A BIT,Phrase,5/21/19
YOU WON THE JACKPOT,Phrase,5/22/19
PACKING,What Are You Doing?,5/23/19
BACKYARD HIDEAWAY,Place,5/24/19
HOCKEY MOMS,People,5/27/19
MOVING AWAY,What Are You Doing?,5/28/19
WYOMING AND THE DAKOTAS,On the Map,5/29/19
WAVING,What Are You Doing?,5/30/19
PICKING MY OUTFIT,What Are You Doing?,5/31/19
JUMPING ON THE BANDWAGON,What Are You Doing?,6/3/19
A VIVID PHOTO,Thing,6/4/19
AMAZING BODY OF WORK,Thing,6/5/19
SWIFT JACKRABBIT,Living Thing,6/6/19
JOINING A CLUB,What Are You Doing?,6/7/19
POPULAR FADS,Things,9/14/20
AT FACE VALUE,Phrase,9/15/20
JUICY BURGERS,Food &amp; Drink,9/16/20
DOLPHINS AT PLAY,Living Things,9/17/20
ROYAL BANQUET,Event,9/18/20
GALA AFFAIR,Event,9/21/20
